"city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Gainesville"," United States","Gainesville, Alachua County, Florida, United States","29.6519684","-82.3249846","100.826","3372.117","0","4"
"Saint Teresa"," United States","Saint Teresa, Franklin County, Florida, United States","29.9307625","-84.4540665","392.869","1064.849","1","0"
"Saint Petersburg"," United States","Saint Petersburg, Pinellas County, Florida, United States","27.7703796","-82.6695085","425.113","1248.181","1","0"
"Washington"," United States","Washington, Washington, D.C., United States","38.8949924","-77.0365581","458.397","1437.432","1","0"
"New Orleans"," United States","New Orleans, Orleans Parish, Louisiana, United States","29.9499323","-90.0701156","567.773","2008.974","1","0"
"Conway County"," United States","Conway County, Arkansas, United States","35.2521996","-92.6888936","664.875","2381.213","1","0"
"New Hampshire"," United States","New Hampshire, United States","43.4849133","-71.6553992","766.932","2769.037","1","0"
"Mechanicsville"," United States","Mechanicsville, Cedar County, Iowa, United States","41.9044574","-91.2546067","777.24","2807.15","1","0"
"Kearneysville"," United States","Kearneysville, Jefferson County, West Virginia, 25430-9047, United States","39.3881556","-77.8855516","935.982","2983.963","2","0"
"Woods Hole"," United States","Woods Hole, Falmouth, Barnstable County, Massachusetts, 02543, United States","41.5239468","-70.6694293","1409.139","5066.767","2","0"
"Great Falls"," United States","Great Falls, Cascade County, Montana, United States","47.5048851","-111.29189","1418.841","6155.261","1","0"
"Claremont"," United States","Claremont, Los Angeles County, California, United States","34.0966764","-117.7197785","1506.569","6948.267","1","0"
"Santa Cruz County"," United States","Santa Cruz County, California, United States","37.050096","-121.9905908","1558.049","7633.248","1","0"
"Athen Knolls"," United States","Athen Knolls, Lemont, Lemont Township, Cook County, Illinois, United States","41.655840999999995","-87.97201103254005","2003.96","7179.428","3","0"
"Philadelphia"," United States of America","Philadelphia, Philadelphia County, Pennsylvania, United States of America","39.9527237","-75.1635262","2605.111","8967.554","5","0"
"Elburg"," Netherlands","Elburg, Gelderland, Netherlands","52.415659149999996","5.841321708557087","5110.369","27642.908","2","0"